family,exp_ev_ia,exp_ev_upd,bat_med,bat_shape,bat_scale,gps_med,gps_shape,gps_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
weibull,60.24880630793918,70.84304445547485,14.0,0.6,25.788075553870243,51.82985558583315,0.5,107.87705370635337,1000,437,326,326,0.326,1.0,0.0,0.5056679346269064,0.8773006134969326,0.8773006134969326,71.24387432589901,64.64174400649513,80.88538580223893,0.5514540098494383,2.3089502904785904,20.0,35.0
weibull,61.131975539558006,71.92778353337218,15.0,0.6,27.63008095057526,42.5755235841089,0.5,88.61537413803697,1000,425,326,326,0.326,1.0,0.0,0.5432921250617286,0.7791411042944786,0.7791411042944786,71.52758803044654,64.76551448464191,79.63644210111184,0.57553915532112,2.121831864172073,20.0,34.0
weibull,60.398357189179706,72.93554827921656,15.5,0.7999999999999999,24.507548561623512,51.82985558583315,0.5,107.87705370635337,1000,451,326,326,0.326,1.0,0.0,0.46779124687804796,0.9570552147239264,0.9570552147239264,67.78371016688929,63.93261025920421,74.54045695385128,0.5453525012782461,2.326366212560162,18.0,36.0
weibull,59.00127375104158,71.34778151397454,16.0,0.5,33.301903696089724,34.97357243180279,0.7999999999999999,55.297840306184796,1000,470,326,326,0.326,1.0,0.0,0.6426740704954752,0.4754601226993865,0.4754601226993865,68.2283480505458,63.52764049767271,75.1133045323537,0.5612157698091518,2.209181884686046,23.0,32.0
weibull,61.415960812331306,72.31675939968687,16.5,0.5,34.34258818659253,31.697863849222255,0.6,58.38763627428827,1000,438,326,326,0.326,1.0,0.0,0.6739408471931887,0.3834355828220859,0.3834355828220859,70.93440656409601,64.61397750459906,79.6667542568668,0.6410969263748629,1.7062392348585576,23.0,32.0
weibull,60.49644459675201,72.28662655213444,17.0,0.6,31.314091743985294,34.97357243180279,0.6,64.42150916143456,1000,464,326,326,0.326,1.0,0.0,0.6154454162223182,0.5398773006134969,0.5398773006134969,68.75863383788315,63.78207880612792,77.48585575105713,0.6185849974050536,1.8383398250723757,22.0,33.0
weibull,59.47263608642118,72.02256631170332,17.5,0.5,36.42395716759814,31.697863849222255,0.7999999999999999,50.1185121022287,1000,463,326,326,0.326,1.0,0.0,0.7157990564786045,0.26380368098159507,0.26380368098159507,68.55423640501832,63.70782614949608,75.35781313272983,0.6146238014355238,1.8606343002511,24.0,31.0
weibull,58.72919424969955,71.109556950687,16.0,0.7,27.009228631897898,46.975347139277204,0.6,86.52884294264021,1000,432,325,325,0.325,1.0,0.0,0.49968987442547086,0.8953846153846153,0.8953846153846153,68.17002209089951,63.679885136994685,75.76009907572131,0.5231180785124641,2.482694848096651,19.0,35.0
weibull,60.519070210111934,72.37296487641854,17.5,0.7,29.541343816138326,38.587798044080735,0.5,80.31544589425852,1000,471,325,325,0.325,1.0,0.0,0.5768102435280451,0.7046153846153846,0.7046153846153846,69.06812259471465,63.55213482372813,77.16996665369119,0.6320161638275744,1.7495010998420986,20.0,34.0
weibull,61.45479668539077,73.24475138812404,15.5,0.7,26.165190237151087,42.5755235841089,0.5,88.61537413803697,1000,427,324,324,0.324,1.0,0.0,0.5146546059700942,0.8703703703703703,0.8703703703703703,69.48703032310894,64.42348583934186,76.49371189452046,0.5800865498696646,2.0922855155093996,19.0,35.0
weibull,59.64503211617152,71.22482681333676,15.5,0.7,26.165190237151087,51.82985558583315,0.5,107.87705370635337,1000,448,324,324,0.324,1.0,0.0,0.48515313107442826,0.9166666666666666,0.9166666666666666,69.7422145484503,64.61531225211995,78.61715411077499,0.5652094229082318,2.202809375080429,19.0,35.0
weibull,59.783995813381914,71.36464927850253,16.0,0.5,33.301903696089724,34.97357243180279,0.7,59.03807586780019,1000,445,324,324,0.324,1.0,0.0,0.6426104805664193,0.4660493827160494,0.4660493827160494,69.97472788478206,64.45970771083203,79.40328026038783,0.5806068498393843,2.105147042221356,23.0,32.0
weibull,59.7864024556213,72.31852840612498,16.0,0.7,27.009228631897898,42.5755235841089,0.6,78.42434420947033,1000,466,324,324,0.324,1.0,0.0,0.5373368063784294,0.8302469135802469,0.8302469135802469,68.05150473612045,63.45407871298614,75.00605586279896,0.5579267395240891,2.2337318442419556,20.0,34.0
weibull,60.75443815477483,72.50626662941994,16.5,0.5,34.34258818659253,31.697863849222255,0.7,53.50842824040094,1000,451,324,324,0.324,1.0,0.0,0.6787951270314336,0.3765432098765432,0.3765432098765432,68.56779341533684,63.77374649112038,77.43756744193479,0.6093064879307557,1.8957743747213418,23.0,31.0
weibull,59.58065795233906,71.33437273741441,17.5,0.7,29.541343816138326,42.5755235841089,0.5,88.61537413803697,1000,463,324,324,0.324,1.0,0.0,0.554920307800761,0.7530864197530864,0.7530864197530864,70.08694498936453,64.20775095156326,79.33947745440476,0.6163838841200772,1.8439189810216656,20.0,34.0
weibull,59.379827759287025,71.12616617395832,18.5,0.6,34.07709983904282,34.97357243180279,0.6,64.42150916143456,1000,466,324,324,0.324,1.0,0.0,0.6451253509362549,0.47530864197530864,0.47530864197530864,69.36150394430263,63.75276757893002,77.31687667291439,0.6286393928645404,1.793176004586143,22.0,32.0
weibull,61.45135347809951,73.2243888075146,15.5,0.5,32.261219205586926,31.697863849222255,0.7,53.50842824040094,1000,452,323,323,0.323,1.0,0.0,0.6684304995605579,0.4179566563467492,0.4179566563467492,68.98664421602649,63.83027229839879,77.0412460810779,0.5983189092807878,1.977974530015162,23.0,31.0
weibull,60.278436615559045,72.81554708713321,15.5,0.7,26.165190237151087,42.5755235841089,0.6,78.42434420947033,1000,447,323,323,0.323,1.0,0.0,0.5283334224863496,0.8637770897832817,0.8637770897832817,67.50250103911469,63.52177229012264,74.06789672546222,0.5504949295798705,2.282882480790221,20.0,34.0
weibull,59.527968334527415,71.95634032088194,15.5,0.7999999999999999,24.507548561623512,57.18603679678211,0.5,119.02524313546759,1000,468,323,323,0.323,1.0,0.0,0.4403468312055288,0.978328173374613,0.978328173374613,68.98366794703121,64.10154595827971,76.75134985367781,0.5247948883481234,2.509506291448608,18.0,37.0
weibull,60.00862288949931,71.43161908227117,14.0,0.5,29.13916573407851,38.587798044080735,0.7,65.13916623587994,1000,459,322,322,0.322,1.0,0.0,0.6028465816484575,0.6086956521739131,0.6086956521739131,69.70824812904115,64.43585380841763,79.16877243926949,0.538121320830899,2.373092799427183,22.0,32.0
