family,exp_ev_ia,exp_ev_upd,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
cure,59.88681731453015,71.47942295041429,17.5,0.9999999999999999,25.247163215556863,0.6000000000000001,6.0,1.25,8.044348584502986,1000,487,385,385,0.385,1.0,0.0,0.3818199784027549,1.0,1.0,72.67620862060141,64.90427772109435,86.60924107496548,0.6071802687254101,1.9112116307445497,16.0,38.0
cure,60.21794670268157,72.18295796284227,17.5,0.8999999999999999,26.296542307779667,0.55,7.0,1.0,10.098865286222745,1000,490,384,384,0.384,1.0,0.0,0.4255558613902436,0.9947916666666666,0.9947916666666666,72.7100259936146,64.7652587038103,83.93771284407923,0.6014543085540228,1.9955682712273872,18.0,36.0
cure,60.675700659550316,71.62183058111975,16.0,0.7,27.009228631897898,0.30000000000000004,16.0,0.5,33.301903696089724,1000,480,383,383,0.383,1.0,0.0,0.487557992372728,0.8929503916449086,0.8929503916449086,71.4703546128083,64.69311853980227,81.12765162964645,0.5915509531898171,2.0207985102454176,19.0,35.0
cure,60.177448586874874,71.48615602161763,16.5,0.7,27.85326702664471,0.45,10.0,0.75,16.30169332037944,1000,479,383,383,0.383,1.0,0.0,0.49639291594953155,0.9216710182767625,0.9216710182767625,71.72286393714461,64.71694367574008,84.64396994857154,0.5767353909575533,2.1217162881972045,19.0,35.0
cure,58.91226424906722,71.57502542373994,18.0,1.2999999999999998,23.86241850197853,0.65,5.0,2.0,6.005612043932249,1000,500,383,383,0.383,1.0,0.0,0.3037958114257253,1.0,1.0,71.62221450174252,64.96984336677126,81.30936942204166,0.5601061420211101,2.206131916308836,14.0,41.0
cure,60.27372617670048,71.11417246355964,15.0,0.7,25.32115184240428,0.5,9.0,0.75,14.671523988341495,1000,491,382,382,0.382,1.0,0.0,0.42697768732972785,0.9738219895287958,0.9738219895287958,72.9841828526981,65.57283035067456,86.33371875107386,0.53367443105189,2.416865443899617,18.0,36.0
cure,59.92376760618049,71.75851037159399,17.0,1.1999999999999997,23.07248490405292,0.65,5.0,2.0,6.005612043932249,1000,489,382,382,0.382,1.0,0.0,0.3096240432429296,1.0,1.0,72.51417193982682,65.72449581371221,84.0657663987285,0.5581065843259858,2.251995166245171,13.0,40.0
cure,61.09421090070259,72.97228024322057,17.5,1.0999999999999999,24.419804064768538,0.6000000000000001,7.0,2.0,8.407856861505149,1000,488,382,382,0.382,1.0,0.0,0.35143284071719005,1.0,1.0,71.92257554736464,65.35017789096126,82.96396934236317,0.5953479561482595,2.0323997744838107,16.0,38.0
cure,60.1405583379011,72.31785904207156,18.0,1.0999999999999999,25.11751275233335,0.6000000000000001,7.0,1.75,8.630876840270858,1000,502,382,382,0.382,1.0,0.0,0.36129826743812865,1.0,1.0,72.50534629318304,64.5930980886899,84.58380001261344,0.5935814834430695,2.0042885618507222,16.0,38.0
cure,60.73970338808593,70.5988404719678,15.0,0.7999999999999999,23.7169824789905,0.6000000000000001,4.0,0.75,6.520677328151775,1000,454,381,381,0.381,1.0,0.0,0.3534313531829966,1.0,1.0,78.37834009234747,68.79792557400404,96.32609600717925,0.5414676309081681,2.3555321084844145,16.0,39.0
cure,60.94520944554513,72.58882417740057,16.0,0.9999999999999999,23.083120654223418,0.6000000000000001,4.0,0.75,6.520677328151775,1000,491,381,381,0.381,1.0,0.0,0.3516269639976116,0.9973753280839895,0.9973753280839895,72.37581000765502,64.80594911284862,83.92582784450106,0.5505520104305544,2.3071106199388827,15.0,39.0
