family,exp_ev_ia,exp_ev_upd,exp_ev_pr3,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,hr_final_low,hr_final_high,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
cure,58.70611886165877,73.16795534821446,77.49987235342577,18.0,0.6,33.15609714069031,0.30000000000000004,19.0,1.1999999999999997,25.78689489276503,800,107,63,63,0.07875,1.0,0.0,0.6904066761458922,0.46472453958046106,0.9850995946850452,0.36507936507936506,0.36507936507936506,66.15602767442832,63.90381377417463,71.36481112019078,0.5963090948158829,1.990635245627451,24.0,30.0
cure,59.03420160335607,72.67413604088364,76.68945261523194,18.0,0.8,28.460378974788597,0.4,14.0,0.8999999999999999,21.03723384622373,800,99,63,63,0.07875,1.0,0.0,0.5479044300414154,0.37103965164886604,0.7164941286027834,0.8253968253968254,0.8253968253968254,66.04690965712578,63.746970917149056,70.19989677734027,0.5886086387698262,2.0094864576796434,20.0,33.0
cure,59.05974675336674,73.30563014903879,77.89974604890821,19.0,0.6,34.998102537395326,0.05,28.0,0.8999999999999999,42.07446769244746,800,101,63,63,0.07875,1.0,0.0,0.6852592899748908,0.48065655900239324,0.9682341140103473,0.3968253968253968,0.3968253968253968,65.40082947699014,63.67902464309345,70.97847843227245,0.5762040944218937,2.0733742170586367,23.0,31.0
cure,59.942010443282925,73.40920737790785,77.58159621542704,19.0,0.6,34.998102537395326,0.2,20.0,0.8999999999999999,30.053191208891047,800,116,63,63,0.07875,1.0,0.0,0.7062443107076903,0.49981341411891445,0.9678846458029581,0.3492063492063492,0.3492063492063492,65.17784223521836,63.65750235738284,67.8854287015051,0.6237630770595045,1.8283800836401312,23.0,30.0
cure,59.23488706062579,73.3447042480754,77.5555294246047,19.0,0.8,30.04151114005463,0.35000000000000003,15.0,0.8999999999999999,22.539893406668284,800,97,63,63,0.07875,1.0,0.0,0.5693557090529925,0.4040092668726016,0.8140746644515416,0.6666666666666666,0.6666666666666666,65.82848179033051,63.80536805400162,69.75427530544539,0.6312158676723576,1.782284087940929,21.0,33.0
cure,58.853835503393086,72.879327833112,77.35645745351798,20.0,0.6,36.840107934100345,0.1,25.0,0.8999999999999999,37.56648901111381,800,102,63,63,0.07875,1.0,0.0,0.7305672984951197,0.5112697496308146,1.0413415182714476,0.23809523809523808,0.23809523809523808,65.40702100049782,63.72702649443433,69.76381339400737,0.6264392427565758,1.7747347924876256,24.0,30.0
cure,59.89155594965099,73.32046412479431,77.58803676892529,14.0,0.6,25.788075553870243,0.15000000000000002,29.0,0.8999999999999999,43.57712725289202,800,119,62,62,0.0775,1.0,0.0,0.5497656016926946,0.40097273076919504,0.7377704518158624,0.7419354838709677,0.7419354838709677,65.32154730668333,63.7346561973895,68.51520577101756,0.5029218801996198,2.6543453583470082,21.0,33.0
cure,58.61284594589393,72.99589396541519,77.3281713888907,18.0,1.0,25.968510736001342,0.30000000000000004,20.0,0.6,36.840107934100345,800,106,62,62,0.0775,1.0,0.0,0.440428488457552,0.3204198173261114,0.6325024274894865,0.9838709677419355,0.9838709677419355,66.24038766234824,63.49512109774151,69.80684455886549,0.5484151212826557,2.2995935667590004,17.5,36.0
cure,58.565898494353604,73.22554174076299,77.44469664009242,19.0,1.2000000000000002,25.78689489276503,0.5,7.0,0.6,12.894037776935122,800,104,62,62,0.0775,1.0,0.0,0.4113307857767984,0.277201704037512,0.5866765972727146,0.9838709677419355,0.9838709677419355,65.8622796212791,63.90873906174782,70.04905977547679,0.5786996546711911,2.106540569092001,16.0,37.5
cure,59.23919842250929,72.83590613420012,77.13297577863187,20.0,0.8,31.62264330532066,0.05,30.0,0.6,55.26016190115052,800,112,62,62,0.0775,1.0,0.0,0.6079583510550008,0.43612546883865694,0.8272213920530784,0.5967741935483871,0.5967741935483871,65.67085848443472,63.72429608599856,69.9474632745095,0.6800592989492953,1.4852208588883662,21.0,33.0
cure,60.105670511980364,73.33181053790197,77.48656682774111,14.0,0.6,25.788075553870243,0.2,26.0,0.8999999999999999,39.06914857155836,800,119,61,61,0.07625,1.0,0.0,0.565442289590586,0.3778798541290866,0.8054289918603318,0.7704918032786885,0.7704918032786885,65.61845327346676,63.35150420916163,69.54868422681477,0.5138593431352606,2.5459440668433984,21.0,33.0
cure,60.36323561027506,73.34130912382854,77.36161528316948,14.0,0.6,25.788075553870243,0.25,23.0,0.8999999999999999,34.561169890224704,800,112,61,61,0.07625,1.0,0.0,0.5484309473907143,0.3715112394780998,0.8380661741123175,0.7540983606557377,0.7540983606557377,65.98670011768743,64.10131048966124,69.53716558655051,0.518671933616858,2.5154405415214653,21.0,33.0
cure,60.36182614855315,73.48957540411263,77.5178130241694,16.0,0.8,25.29811464425653,0.15000000000000002,30.0,0.6,55.26016190115052,800,104,61,61,0.07625,1.0,0.0,0.47514788991422163,0.3386129962627936,0.6746812260777457,0.9016393442622951,0.9016393442622951,65.63720113586083,63.77925606601862,71.61235670669316,0.5481274330761884,2.332942671644728,19.0,35.0
cure,58.69934145012786,72.6670837935504,76.75781059250265,16.0,1.0,23.083120654223414,0.35000000000000003,22.0,0.6,40.524118727510384,800,108,61,61,0.07625,1.0,0.0,0.38377246997176406,0.31986525746551386,0.5395451337679136,1.0,1.0,66.06033550747453,63.84942056723879,70.28514741710089,0.4930489274550905,2.7261073398565605,16.0,37.0
